0  -172	0	-25	-18	-158	-4
187680	5372	28	-4365	-2856	-9065	-6381
188224	5792	-7700	-8881	-20156	15206	142
188736	2752	-11092	24631	27477	15177	-2617
189248	-1564	-5948	-5809	2058	2458	-6746
189792	6848	1844	-2117	32598	15206	-22864
190304	-3812	-15000	-1861	-17326	-16823	32553
190816	4308	-7480	-10849	13362	-2466	-13858
191328	3124	-6296	-1917	32598	-32517	32554
191872	-3108	-13928	1531	13316	-28021	32553
192384	-1772	-3264	-10053	32597	-17482	16852
192896	7392	2304	-8693	27399	-3969	8632
193440	4516	-3756	-233	-6504	-2269	17958
193952	-1444	-948	-4369	14911	-16972	-16842
194464	3112	3748	-1529	16068	-9595	11295
195008	6668	8576	-3349	15552	-6371	2393
195520	6992	4184	-12733	-13109	3185	-4425
196032	6396	3596	-12505	-3902	16336	-9675
196576	6244	5800	-2345	-2336	1783	4091
197088	6424	7560	-6517	32598	12688	6517
197600	6264	3716	551	5514	12825	13088
198144	6824	3844	-9913	-29195	9626	-4791
198656	7284	2092	-12401	-14046	2224	-1154
199168	5968	4736	-5677	32597	-17451	24299
199712	2620	-2020	-2833	32598	29515	-24343
200224	5268	5964	-4525	18899	-15342	-6713
200736	8084	3932	-9965	-13911	10049	-8187
201280	4444	4976	291	-15928	2049	-9122
201792	180	-5332	-6001	32597	-32451	32553
202304	8184	952	-5069	-516	-182	-8
202816	6612	-1044	-3825	-17481	-15	-13514
203360	7392	-2324	-2317	15118	-6804	407
203872	8880	120	-6813	-7955	205	-2476
204384	3616	-3564	-2045	-30357	5996	-9294
204928	5912	6556	-2989	19117	-2018	14648
205440	4380	-4180	-6069	32598	22000	-14897
205952	3080	-7068	-4693	32597	-11287	8597
206496	6448	1816	-4197	-6089	-194	2792
207008	-68	-9552	-3817	32597	-23198	18015
207520	4244	-3820	-4921	32598	25829	-7410
208064	3100	-5232	1395	32597	-20206	17899
208576	6840	1008	-2181	-11743	6057	-2264
209088	4020	-5748	-9953	-24723	7401	-863
209600	7484	1636	-9249	456	-3095	-14845
210144	5348	-1972	-3081	-25845	7663	-8376
210656	-220	-9112	-2733	16306	-7442	1436
211168	704	-3880	-3993	-13937	-32517	-22423
211712	4736	-4972	-3733	32598	18382	-10187
212224	5952	-2108	-4157	13949	-5333	4477
212736	5388	-3588	-1077	-6581	-3331	-4166
213280	5940	-5940	-7629	-18239	3654	-1638
213792	5208	-3332	-3465	23732	-12045	3563
214304	5456	-3108	-2337	-149	380	330
214848	4128	-8492	-8069	32598	18105	-10294
215360	5864	-2504	-14937	-6238	-1687	1651
215872	5912	532	-13309	22155	-3979	-893
216416	8088	-6272	-16321	-10936	6155	-6907
216928	7916	116	-6245	-127	1333	946
217440	7688	-1348	-4237	822	-1069	-306
